Crop,Season
apple,Whole Year 
arcanut (processed),Whole Year 
arecanut,Kharif     
arecanut,Rabi       
arecanut,Whole Year 
arhar/tur,Autumn     
arhar/tur,Kharif     
arhar/tur,Rabi       
arhar/tur,Summer     
arhar/tur,Whole Year 
arhar/tur,Winter     
ash gourd,Whole Year 
atcanut (raw),Whole Year 
bajra,Kharif     
bajra,Rabi       
bajra,Summer     
bajra,Whole Year 
banana,Autumn     
banana,Kharif     
banana,Rabi       
banana,Summer     
banana,Whole Year 
banana,Winter     
barley,Kharif     
barley,Rabi       
barley,Whole Year 
bean,Kharif     
beans & mutter(vegetable),Whole Year 
beet root,Whole Year 
ber,Whole Year 
bhindi,Whole Year 
bitter gourd,Whole Year 
black pepper,Kharif     
black pepper,Rabi       
black pepper,Whole Year 
blackgram,Kharif     
blackgram,Rabi       
blackgram,Whole Year 
bottle gourd,Whole Year 
brinjal,Kharif     
brinjal,Rabi       
brinjal,Summer     
brinjal,Whole Year 
cabbage,Kharif     
cabbage,Rabi       
cabbage,Whole Year 
cardamom,Kharif     
cardamom,Whole Year 
carrot,Whole Year 
cashewnut,Kharif     
cashewnut,Rabi       
cashewnut,Whole Year 
cashewnut processed,Whole Year 
cashewnut raw,Whole Year 
castor seed,Kharif     
castor seed,Rabi       
castor seed,Whole Year 
cauliflower,Whole Year 
citrus fruit,Whole Year 
coconut ,Kharif     
coconut ,Whole Year 
coffee,Whole Year 
colocosia,Kharif     
cond-spcs other,Kharif     
cond-spcs other,Rabi       
coriander,Kharif     
coriander,Rabi       
coriander,Whole Year 
coriander,Winter     
cotton(lint),Autumn     
cotton(lint),Kharif     
cotton(lint),Rabi       
cotton(lint),Summer     
cotton(lint),Whole Year 
cotton(lint),Winter     
cowpea(lobia),Kharif     
cowpea(lobia),Rabi       
cowpea(lobia),Summer     
cowpea(lobia),Whole Year 
cucumber,Whole Year 
drum stick,Whole Year 
dry chillies,Autumn     
dry chillies,Kharif     
dry chillies,Rabi       
dry chillies,Summer     
dry chillies,Whole Year 
dry chillies,Winter     
dry ginger,Autumn     
dry ginger,Kharif     
dry ginger,Rabi       
dry ginger,Summer     
dry ginger,Whole Year 
dry ginger,Winter     
garlic,Kharif     
garlic,Rabi       
garlic,Whole Year 
ginger,Kharif     
ginger,Rabi       
ginger,Whole Year 
gram,Kharif     
gram,Rabi       
gram,Whole Year 
gram,Winter     
grapes,Kharif     
grapes,Whole Year 
groundnut,Autumn     
groundnut,Kharif     
groundnut,Rabi       
groundnut,Summer     
groundnut,Whole Year 
groundnut,Winter     
guar seed,Kharif     
guar seed,Whole Year 
horse-gram,Kharif     
horse-gram,Rabi       
horse-gram,Summer     
horse-gram,Whole Year 
horse-gram,Winter     
jack fruit,Whole Year 
jobster,Kharif     
jowar,Autumn     
jowar,Kharif     
jowar,Rabi       
jowar,Summer     
jowar,Whole Year 
jute,Autumn     
jute,Kharif     
jute,Rabi       
jute,Summer     
jute & mesta,Kharif     
jute & mesta,Whole Year 
kapas,Kharif     
kapas,Whole Year 
khesari,Kharif     
khesari,Rabi       
khesari,Whole Year 
korra,Kharif     
korra,Rabi       
lab-lab,Whole Year 
lemon,Kharif     
lentil,Rabi       
linseed,Kharif     
linseed,Rabi       
linseed,Whole Year 
litchi,Whole Year 
maize,Autumn     
maize,Kharif     
maize,Rabi       
maize,Summer     
maize,Whole Year 
maize,Winter      
mango,Whole Year 
masoor,Kharif     
masoor,Rabi       
masoor,Whole Year 
mesta,Kharif     
mesta,Rabi       
mesta,Whole Year 
moong(green gram),Autumn     
moong(green gram),Kharif     
moong(green gram),Rabi       
moong(green gram),Summer     
moong(green gram),Whole Year 
moong(green gram),Winter     
moth,Kharif     
moth,Rabi       
moth,Whole Year 
niger seed,Kharif     
niger seed,Rabi       
niger seed,Whole Year 
niger seed,Winter     
oilseeds total,Kharif     
oilseeds total,Rabi       
oilseeds total,Whole Year 
onion,Autumn     
onion,Kharif     
onion,Rabi       
onion,Summer     
onion,Whole Year 
onion,Winter     
orange,Kharif     
orange,Whole Year 
other  rabi pulses,Rabi       
other  rabi pulses,Summer     
other cereals & millets,Kharif     
other cereals & millets,Rabi       
other citrus fruit,Whole Year 
other dry fruit,Whole Year 
other fresh fruits,Whole Year 
other kharif pulses,Kharif     
other kharif pulses,Rabi       
other vegetables,Whole Year 
paddy,Autumn     
paddy,Kharif     
paddy,Rabi       
paddy,Summer     
paddy,Winter     
papaya,Kharif     
papaya,Rabi       
papaya,Whole Year 
peach,Whole Year 
pear,Whole Year 
peas  (vegetable),Whole Year 
peas & beans (pulses),Autumn     
peas & beans (pulses),Kharif     
peas & beans (pulses),Rabi       
peas & beans (pulses),Summer     
peas & beans (pulses),Whole Year 
peas & beans (pulses),Winter     
perilla,Kharif     
pineapple,Rabi       
pineapple,Whole Year 
plums,Whole Year 
pome fruit,Whole Year 
pome granet,Kharif     
pome granet,Whole Year 
potato,Autumn     
potato,Kharif     
potato,Rabi       
potato,Summer     
potato,Whole Year 
potato,Winter     
pulses total,Kharif     
